runtime, instance number, max population size, population size, max offspring, number of offspring, mean
3.724, 1, 7, 6, 19,18, 1.3706453355304125
3.745, 1, 7, 6, 20,19, 1.3644062306142408
3.912, 1, 7, 6, 21,20, 1.3834636204712143
3.917, 1, 7, 6, 22,21, 1.3977068341719132
4.56, 1, 7, 6, 23,22, 1.381624408848305
3.885, 1, 7, 6, 24,23, 1.3443405453027997
3.764, 1, 7, 6, 25,24, 1.3772007857590192
3.73, 1, 7, 6, 26,25, 1.350950237914359
3.746, 1, 7, 6, 27,26, 1.3654113840146287
3.724, 1, 7, 6, 28,27, 1.4068224827197713
3.762, 1, 7, 6, 29,28, 1.3480012006516886
3.681, 1, 7, 6, 30,29, 1.3651410558147536
3.719, 1, 7, 6, 31,30, 1.366653794727818
3.668, 1, 7, 6, 32,31, 1.4124696015395197
3.721, 1, 7, 6, 33,32, 1.3800597289679064
3.656, 1, 7, 6, 34,33, 1.3911278111652317
3.69, 1, 7, 6, 35,34, 1.3625162255599885
3.647, 1, 7, 6, 36,35, 1.3604874385844918
3.652, 1, 7, 6, 37,36, 1.3946597765209152
3.647, 1, 7, 6, 38,37, 1.3905333588973317
3.672, 1, 7, 6, 39,38, 1.3939066203365091
3.693, 1, 7, 6, 40,39, 1.387706202106211
3.639, 1, 7, 6, 41,40, 1.4016448801544126
3.641, 1, 7, 6, 42,41, 1.3650127902886129
3.607, 1, 7, 6, 43,42, 1.3603273185331857
3.654, 1, 7, 6, 44,43, 1.3774626476822063
3.583, 1, 7, 6, 45,44, 1.382386242422052
3.675, 1, 7, 6, 46,45, 1.3427408594156307
3.591, 1, 7, 6, 47,46, 1.4018339806322468
3.635, 1, 7, 6, 48,47, 1.4064240082310226
3.593, 1, 7, 6, 49,48, 1.3827166551161985
3.622, 1, 7, 6, 50,49, 1.3625696713243227
5.538, 1, 8, 7, 1,0, 1.4431778106875213
5.245, 1, 8, 7, 2,1, 1.4456324156565163
5.065, 1, 8, 7, 3,2, 1.4057165276692336
4.812, 1, 8, 7, 4,3, 1.3870564714301028
4.629, 1, 8, 7, 5,4, 1.3874710570319748
4.559, 1, 8, 7, 6,5, 1.3906993471249733
4.42, 1, 8, 7, 7,6, 1.383655559296728
4.371, 1, 8, 7, 8,7, 1.3574439400250469
4.325, 1, 8, 7, 9,8, 1.3633058270126883
4.21, 1, 8, 7, 10,9, 1.381146409592716
4.196, 1, 8, 7, 11,10, 1.3699483393774963
4.077, 1, 8, 7, 12,11, 1.3943874541563186
4.106, 1, 8, 7, 13,12, 1.3474446893044623
4.007, 1, 8, 7, 14,13, 1.3850670491180526
4.043, 1, 8, 7, 15,14, 1.349260658536521
3.977, 1, 8, 7, 16,15, 1.3804071396504562
3.928, 1, 8, 7, 17,16, 1.3773950199080287
3.903, 1, 8, 7, 18,17, 1.3716186662173828
3.893, 1, 8, 7, 19,18, 1.4060966230570215
3.893, 1, 8, 7, 20,19, 1.3873358523283081
3.851, 1, 8, 7, 21,20, 1.3958176577207388
3.877, 1, 8, 7, 22,21, 1.3546565576367302
3.811, 1, 8, 7, 23,22, 1.3975757011935448
3.84, 1, 8, 7, 24,23, 1.371551927622383
3.795, 1, 8, 7, 25,24, 1.3639023200851348
3.804, 1, 8, 7, 26,25, 1.3828898510944359
3.744, 1, 8, 7, 27,26, 1.3709971965559267
3.748, 1, 8, 7, 28,27, 1.4000347280379044
3.728, 1, 8, 7, 29,28, 1.375281755965163
3.818, 1, 8, 7, 30,29, 1.3812144611442352
3.697, 1, 8, 7, 31,30, 1.3890401653850875
3.717, 1, 8, 7, 32,31, 1.4118911723265275
3.708, 1, 8, 7, 33,32, 1.387649463904503
3.714, 1, 8, 7, 34,33, 1.3662739179011247
3.685, 1, 8, 7, 35,34, 1.4275873466639633
3.731, 1, 8, 7, 36,35, 1.3771839877913508
3.665, 1, 8, 7, 37,36, 1.4202386178022404
3.726, 1, 8, 7, 38,37, 1.4049728623861852
3.68, 1, 8, 7, 39,38, 1.4064748678174936
3.657, 1, 8, 7, 40,39, 1.378186837984025
3.672, 1, 8, 7, 41,40, 1.387068425160734
3.693, 1, 8, 7, 42,41, 1.4183947927677347
3.638, 1, 8, 7, 43,42, 1.3987190197121064
3.708, 1, 8, 7, 44,43, 1.4132584063239029
3.636, 1, 8, 7, 45,44, 1.3921601745540846
3.689, 1, 8, 7, 46,45, 1.3628405207768097
3.666, 1, 8, 7, 47,46, 1.4030559080854066
3.653, 1, 8, 7, 48,47, 1.3960569581869853
3.629, 1, 8, 7, 49,48, 1.3938841257534336
3.649, 1, 8, 7, 50,49, 1.4165505265705334
5.534, 1, 9, 8, 1,0, 1.445774784097238
5.263, 1, 9, 8, 2,1, 1.4327005683068772
5.103, 1, 9, 8, 3,2, 1.4116669536696707
4.878, 1, 9, 8, 4,3, 1.4195492424043328
4.752, 1, 9, 8, 5,4, 1.4051601652156613
4.656, 1, 9, 8, 6,5, 1.3977851696866979
4.431, 1, 9, 8, 7,6, 1.3916232545221994
4.401, 1, 9, 8, 8,7, 1.376625619643058
4.287, 1, 9, 8, 9,8, 1.3890035348460064
4.328, 1, 9, 8, 10,9, 1.3798762023967996
4.225, 1, 9, 8, 11,10, 1.3882137288041354
4.13, 1, 9, 8, 12,11, 1.360852727017987
4.126, 1, 9, 8, 13,12, 1.3797660640164804
4.025, 1, 9, 8, 14,13, 1.402631456176987
4.068, 1, 9, 8, 15,14, 1.3238771485426422
3.983, 1, 9, 8, 16,15, 1.383523332511379
3.981, 1, 9, 8, 17,16, 1.3940397879244029
3.945, 1, 9, 8, 18,17, 1.3653280001259929
3.978, 1, 9, 8, 19,18, 1.4108565731330978
3.898, 1, 9, 8, 20,19, 1.3711372492512353
3.922, 1, 9, 8, 21,20, 1.4070635479647502
3.857, 1, 9, 8, 22,21, 1.4079630585809646
3.875, 1, 9, 8, 23,22, 1.3569412012347706
3.836, 1, 9, 8, 24,23, 1.3874953232799485
3.84, 1, 9, 8, 25,24, 1.413071098363257
3.79, 1, 9, 8, 26,25, 1.3916665809589281
3.881, 1, 9, 8, 27,26, 1.3646536704929155
3.808, 1, 9, 8, 28,27, 1.3666180738754128
3.802, 1, 9, 8, 29,28, 1.364918409758337
3.781, 1, 9, 8, 30,29, 1.3930252412121158
3.767, 1, 9, 8, 31,30, 1.380882756109654
3.787, 1, 9, 8, 32,31, 1.4263824464246686
3.755, 1, 9, 8, 33,32, 1.4062813947065638
3.75, 1, 9, 8, 34,33, 1.3839696349992399
3.728, 1, 9, 8, 35,34, 1.3836037301001196
3.742, 1, 9, 8, 36,35, 1.4085487250856215
3.687, 1, 9, 8, 37,36, 1.3944634836890588
3.75, 1, 9, 8, 38,37, 1.3981884737960202
3.716, 1, 9, 8, 39,38, 1.4025872948303058
3.738, 1, 9, 8, 40,39, 1.3852403085109373
3.685, 1, 9, 8, 41,40, 1.3769044056315685
3.719, 1, 9, 8, 42,41, 1.4203063424016231
3.692, 1, 9, 8, 43,42, 1.3977816646150245
3.688, 1, 9, 8, 44,43, 1.4030289977694592
3.712, 1, 9, 8, 45,44, 1.4121744135579115
3.713, 1, 9, 8, 46,45, 1.3884698615243862
3.663, 1, 9, 8, 47,46, 1.4113542681570805
3.676, 1, 9, 8, 48,47, 1.3988754395625391
3.676, 1, 9, 8, 49,48, 1.4113929143917119
3.674, 1, 9, 8, 50,49, 1.40666596324034
5.619, 1, 10, 9, 1,0, 1.5017597931018158
5.32, 1, 10, 9, 2,1, 1.447091838417888
5.155, 1, 10, 9, 3,2, 1.4180877518699952
4.868, 1, 10, 9, 4,3, 1.43056715453853
4.759, 1, 10, 9, 5,4, 1.4335601874985773
4.618, 1, 10, 9, 6,5, 1.3881308469783122
4.459, 1, 10, 9, 7,6, 1.4063052837186545
4.442, 1, 10, 9, 8,7, 1.4247333271001952
4.271, 1, 10, 9, 9,8, 1.388162078098469
4.256, 1, 10, 9, 10,9, 1.40442727348208
4.211, 1, 10, 9, 11,10, 1.402344653159066
4.17, 1, 10, 9, 12,11, 1.366469189023408
4.151, 1, 10, 9, 13,12, 1.3715157661759747
4.087, 1, 10, 9, 14,13, 1.3537529370053771
4.078, 1, 10, 9, 15,14, 1.370785411087509
4.0, 1, 10, 9, 16,15, 1.3964069960952483
4.028, 1, 10, 9, 17,16, 1.4048971510758599
3.977, 1, 10, 9, 18,17, 1.3957058176452208
3.969, 1, 10, 9, 19,18, 1.398266945593036
3.923, 1, 10, 9, 20,19, 1.3977898996438962
3.948, 1, 10, 9, 21,20, 1.3839896014612143
3.905, 1, 10, 9, 22,21, 1.3620546275281922
3.924, 1, 10, 9, 23,22, 1.3750649599719587
3.852, 1, 10, 9, 24,23, 1.3607136408651486
3.864, 1, 10, 9, 25,24, 1.4015306295366217
3.827, 1, 10, 9, 26,25, 1.4082820826432951
3.806, 1, 10, 9, 27,26, 1.3989268737381166
3.816, 1, 10, 9, 28,27, 1.3808719760668753
3.802, 1, 10, 9, 29,28, 1.3977557305620745
3.803, 1, 10, 9, 30,29, 1.397242148476876
3.799, 1, 10, 9, 31,30, 1.4099225025183328
3.786, 1, 10, 9, 32,31, 1.3950751841034683
3.739, 1, 10, 9, 33,32, 1.3903740112452332
3.804, 1, 10, 9, 34,33, 1.3871688585160777
3.734, 1, 10, 9, 35,34, 1.4050680891900207
3.785, 1, 10, 9, 36,35, 1.3949879433973962
3.745, 1, 10, 9, 37,36, 1.4020757658393905
3.753, 1, 10, 9, 38,37, 1.3835030545044726
3.719, 1, 10, 9, 39,38, 1.3770105102559265
3.766, 1, 10, 9, 40,39, 1.3891436418844214
3.711, 1, 10, 9, 41,40, 1.407324501103627
3.764, 1, 10, 9, 42,41, 1.3996497554334457
3.728, 1, 10, 9, 43,42, 1.4440603597220965
3.758, 1, 10, 9, 44,43, 1.3904150168672067
3.713, 1, 10, 9, 45,44, 1.3767111290368936
3.746, 1, 10, 9, 46,45, 1.4324628148085563
3.682, 1, 10, 9, 47,46, 1.387369806268787
3.724, 1, 10, 9, 48,47, 1.4345906358461913
3.675, 1, 10, 9, 49,48, 1.4298748526173517
